initiate_hardness,initiate_man_day,initiate_num_people,initiate_priority,maintain_man_day
5,50,33,3,431
7,74,39,1,560
2,22,21,3,219
10,99,58,2,804
5,52,30,2,410
2,22,13,1,178
2,20,18,2,200
5,54,34,3,434
1,9,10,2,120
3,31,24,3,290
10,98,57,2,803
1,9,8,1,109
10,99,57,2,800
7,68,40,2,563
2,19,15,1,187
1,8,10,1,118
3,28,23,2,283
7,69,37,1,554
4,42,27,2,348
8,81,48,2,659
4,44,25,1,337
8,79,47,2,652
7,69,45,3,594
8,80,45,2,644
5,52,28,1,409
7,68,45,3,587
1,10,15,3,142
4,43,26,2,348
9,88,52,2,724
3,30,21,2,268
9,89,55,3,737
10,101,55,2,794
10,103,53,1,784
7,74,42,2,579
5,54,30,2,413
7,74,37,1,545
2,24,18,2,209
5,51,30,1,414
4,40,31,3,368
4,42,28,2,351
10,103,53,1,781
4,39,24,1,334
6,58,35,2,489
10,99,60,3,816
4,41,28,3,357
2,23,18,3,208
7,72,44,3,580
5,52,29,1,409
10,99,60,3,816
10,102,56,2,795
7,74,37,1,553
3,34,19,1,260
8,80,46,2,640
10,102,53,1,777
2,21,19,3,207
10,98,52,1,772
4,38,25,1,335
6,58,41,3,522
6,60,40,3,517
6,61,34,1,486
5,53,32,2,429
9,93,51,2,715
6,64,37,2,501
9,93,54,3,738
8,84,44,1,635
6,62,39,3,505
2,24,14,1,185
1,12,15,3,141
1,13,10,1,118
5,52,27,1,404
1,9,11,2,116
4,39,31,3,373
1,13,14,3,131
8,79,50,3,661
1,12,7,1,104
2,21,12,1,179
3,32,23,3,275
4,44,26,2,349
6,62,41,3,522
10,98,61,3,825
7,71,42,2,577
2,21,21,3,223
2,18,19,3,205
4,44,28,3,357
2,23,21,3,221
2,18,17,2,202
1,12,13,2,128
10,103,57,2,801
1,14,14,3,134
4,39,24,1,332
9,90,50,1,717
7,69,45,3,595
1,10,11,2,120
10,103,54,1,786
5,54,34,3,430
8,79,50,3,670
5,51,35,3,437
8,80,47,2,649
2,22,21,3,219
6,62,38,3,506
8,81,51,3,671
2,21,20,3,211
3,33,24,3,285
3,28,20,1,260
5,48,30,2,418
4,43,23,1,326
2,22,14,1,186
3,29,25,3,290
3,30,17,1,246
9,93,56,3,744
5,53,30,1,411
5,51,29,1,409
8,81,48,3,659
10,104,55,1,787
2,19,15,1,195
1,8,7,1,101
1,11,10,1,112
3,32,22,2,279
4,39,30,3,367
2,21,19,3,210
8,80,50,3,668
6,60,41,3,518
3,34,23,2,283
3,33,19,1,259
6,64,39,3,515
9,94,54,3,735
7,71,43,3,583
6,61,39,3,505
6,60,35,2,488
8,83,51,3,674
7,74,40,1,564
9,94,53,2,727
5,49,32,2,424
8,82,44,1,630
10,102,61,3,821
6,63,36,2,490
7,69,43,2,584
7,72,43,3,575
9,89,51,2,718
9,90,51,2,716
1,14,10,2,113
10,101,59,3,813
1,13,9,1,106
8,82,44,1,636
7,74,38,1,554
9,89,53,3,735
2,24,15,1,185
9,94,53,2,725
6,64,41,3,522
6,60,35,1,486
2,23,17,2,197
9,90,56,3,749
5,51,35,3,444
10,104,61,3,822
6,58,33,1,483
7,73,43,2,580
4,43,27,2,346
2,22,18,2,208
5,53,27,1,395
6,64,38,3,509
10,104,54,1,785
7,68,46,3,593
10,100,55,2,785
9,92,49,1,707
3,34,20,1,263
2,19,12,1,177
6,62,39,3,505
8,81,50,3,667
6,60,34,1,486
10,103,57,2,805
7,71,38,1,559
9,94,52,2,729
7,74,39,1,559
3,29,23,2,276
6,58,38,3,503
10,98,55,1,791
1,12,15,3,136
2,22,21,3,224
7,70,45,3,591
8,82,48,2,656
1,9,10,2,120
9,89,53,2,725
1,8,7,1,105
6,58,38,3,503
3,33,26,3,294
9,91,50,2,712
7,73,39,1,555
8,80,43,1,626
5,48,33,3,425
1,9,10,1,117
7,71,41,2,567
10,98,55,2,793
3,34,26,3,294
1,12,12,2,124
4,41,24,1,337
5,51,29,1,406
8,79,49,3,661
5,50,30,1,417
4,38,24,1,332
4,44,30,3,367
7,71,37,1,549
7,68,37,1,551
2,24,18,3,203
8,78,51,3,665
5,49,33,2,434
6,60,38,3,503
3,32,23,2,279
8,78,50,3,664
8,80,46,2,644
1,13,7,1,102
2,18,17,2,200
3,29,23,3,280
5,49,31,2,416
5,50,34,3,436
5,52,33,2,431
5,51,30,1,411
10,101,53,1,780
1,13,9,1,115
4,39,25,2,338
5,50,31,2,423
4,42,25,2,344
10,102,61,3,821
7,70,43,3,581
5,52,27,1,398
7,72,46,3,590
3,29,22,2,275
3,31,22,2,273
1,11,10,2,119
10,104,54,1,787
5,48,35,3,445
4,40,29,3,362
4,42,25,2,338
6,60,41,3,524
3,29,26,3,297
3,31,21,2,271
2,20,15,1,187
9,94,47,1,699
9,92,52,2,721
8,79,50,3,670
5,49,30,2,420
1,11,13,3,128
1,11,8,1,105
7,69,40,1,567
5,52,31,2,425
4,40,22,1,327
10,104,55,2,794
7,69,40,1,562
4,39,22,1,323
4,43,30,3,370
10,103,55,2,795
3,34,26,3,298
7,69,40,2,562
10,104,58,3,802
1,13,10,1,118
8,83,42,1,621
10,102,54,1,784
7,73,40,1,561
8,82,47,2,654
10,103,59,3,806
8,79,45,1,638
3,28,26,3,292
5,54,33,3,434
9,92,50,1,713
1,11,10,1,114
4,40,28,2,356
9,93,56,3,743
6,62,35,2,492
9,93,49,1,706
6,58,32,1,477
4,40,31,3,372
10,98,56,2,794
7,69,44,3,584
10,98,59,3,806
9,94,50,1,717
10,102,55,1,787
8,81,44,1,637
3,34,18,1,251
